
"約定履歴"

"商品指定","約定開始年月日","約定終了年月日"
"すべて","2024年02月17日","2026年02月16日"

"国内約定日","銘柄","銘柄コード","市場","商品区分","注文種別","取引","預り区分","約定数量","約定単価","国内受渡日","受渡金額/決済損益"
"2026/02/12","オラクル","ORCL","NYSE","米国株式","成行","現売","NISA","1","160.6600USD","2026/02/16","160.66USD"
"2026/02/12","ユニティソフトウェア","U","NYSE","米国株式","成行","現売","特定","5","19.8709USD","2026/02/16","98.87USD"
"2026/02/12","クラウド ストライク ホールディングス A","CRWD","NASDAQ","米国株式","成行","現売","特定","1","410.7390USD","2026/02/16","408.71USD"
"2026/02/12","ユニティソフトウェア","U","NYSE","米国株式","成行","現売","特定","5","20.0250USD","2026/02/16","99.64USD"
"2026/02/12","オラクル","ORCL","NYSE","米国株式","成行","現売","NISA","8","159.7300USD","2026/02/16","1,277.84USD"
"2026/02/12","イーライ リリィ","LLY","NYSE","米国株式","成行","現買","NISA","2","1,026.7610USD","2026/02/16","2,053.53USD"
"2026/02/06","アメア スポーツ","AS","NYSE","米国株式","成行","現買","NISA","20","35.9050USD","2026/02/10","718.10USD"
"2026/02/02","ユニティソフトウェア","U","NYSE","米国株式","成行","現売","特定","22","34.3407USD","2026/02/04","751.77USD"
"2026/01/14","メタ プラットフォームズ A","META","NASDAQ","米国株式","成行","現売","特定","2","627.9800USD","2026/01/16","1,249.75USD"
"2026/01/14","オラクル","ORCL","NYSE","米国株式","成行","現買","NISA","4","201.6550USD","2026/01/16","806.62USD"
"2026/01/14","ロケット ラボ コーポレーション","RKLB","NASDAQ","米国株式","成行","現買","特定","13","88.5500USD","2026/01/16","1,156.84USD"
"2026/01/14","クラウド ストライク ホールディングス A","CRWD","NASDAQ","米国株式","成行","現買","特定","1","464.8700USD","2026/01/16","467.17USD"
"2026/01/14","アルファベット A","GOOGL","NASDAQ","米国株式","成行","現買","NISA","4","336.3385USD","2026/01/16","1,345.36USD"
"2026/01/14","ユニティソフトウェア","U","NYSE","米国株式","指値","現買","特定","10","45.3700USD","2026/01/16","455.94USD"
"2025/12/09","イーライ リリィ","LLY","NYSE","米国株式","成行","現売","NISA","3","992.8033USD","2025/12/11","2,978.41USD"
"2025/11/27","クラウド ストライク ホールディングス A","CRWD","NASDAQ","米国株式","成行","現買","特定","2","499.0400USD","2025/12/01","1,003.02USD"
"2025/11/21","ロビンフッド マーケッツ A","HOOD","NASDAQ","米国株式","成行","現売","特定","10","109.0390USD","2025/11/26","1,085.00USD"
"2025/11/18","ユニティソフトウェア","U","NYSE","米国株式","成行","現買","特定","22","37.1400USD","2025/11/20","821.12USD"
"2025/11/18","ロビンフッド マーケッツ A","HOOD","NASDAQ","米国株式","成行","現買","特定","10","117.9773USD","2025/11/20","1,185.61USD"
"2025/11/11","オラクル","ORCL","NYSE","米国株式","成行","現買","NISA","3","246.6900USD","2025/11/13","740.07USD"
"2025/11/04","ドアダッシュ A","DASH","NASDAQ","米国株式","成行","現売","特定","11","246.6890USD","2025/11/06","2,700.15USD"
"2025/11/04","オラクル","ORCL","NYSE","米国株式","成行","現買","NISA","3","261.2300USD","2025/11/06","783.69USD"
"2025/10/31","Direxion デイリー META ブル2倍 ETF","METU","NASDAQ","米国株式","成行","現売","特定","25","33.1200USD","2025/11/05","823.91USD"
"2025/10/28","パランティア テクノロジーズ A","PLTR","NASDAQ","米国株式","成行","現売","NISA","2","191.6950USD","2025/10/30","383.39USD"
"2025/10/28","オラクル","ORCL","NYSE","米国株式","成行","現買","NISA","2","282.0300USD","2025/10/30","564.06USD"
"2025/10/23","アンフェノール A","APH","NYSE","米国株式","成行","現売","特定","9","133.9300USD","2025/10/27","1,199.41USD"
"2025/10/23","オラクル","ORCL","NYSE","米国株式","成行","現買","NISA","4","275.9000USD","2025/10/27","1,103.60USD"
"2025/10/14","Direxion デイリー META ブル2倍 ETF","METU","NASDAQ","米国株式","指値","現買","特定","25","40.0791USD","2025/10/16","1,006.93USD"
"2025/09/03","エヌビディア","NVDA","NASDAQ","米国株式","成行","現売","特定","4","167.2500USD","2025/09/05","665.69USD"
"2025/08/22","パランティア テクノロジーズ A","PLTR","NASDAQ","米国株式","成行","現買","NISA","19","155.2650USD","2025/08/26","2,950.04USD"
"2025/08/21","カーヴァナ","CVNA","NYSE","米国株式","成行","現売","特定","6","328.8500USD","2025/08/25","1,963.34USD"
"2025/08/19","パランティア テクノロジーズ A","PLTR","NASDAQ","米国株式","成行","現売","特定","3","171.9550USD","2025/08/21","513.32USD"
"2025/08/19","パランティア テクノロジーズ A","PLTR","NASDAQ","米国株式","成行","現売","特定","2","172.1000USD","2025/08/21","342.50USD"
